Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ChildSchedulesService,updateEnrollments,Long Statement,The length of the statement "updateMilestonesForEnrolledSchedules(child.caseId()`child.anmIdentifier()`child.immunizationsGiven()`child.immunizationDate());" is 127.,52
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ChildSchedulesService,unenrollChild,Long Statement,The length of the statement "List<EnrollmentRecord> openEnrollments=scheduleTrackingService.search(new EnrollmentsQuery().havingExternalId(id).havingState(ACTIVE));" is 135.,59
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ChildSchedulesService,enrollNonDependentModules,Long Statement,The length of the statement "logger.info(format("Enrolling child to schedule: {0}` entityId: {1}` referenceDate: {2}"`schedule.name()`id`dateOfBirth));" is 122.,68
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ChildSchedulesService,enrollDependentModulesIfRequired,Long Statement,The length of the statement "logger.info(format("Enrolling child to schedule: {0}` entityId: {1}` referenceDate: {2}"`schedule.name()`id`immunizationDate));" is 127.,77
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ChildSchedulesService,updateMilestonesForEnrolledSchedules,Long Statement,The length of the statement "logger.info(format("Fulfilling current milestone of schedule: {0}` milestone: {1}` entityId: {2}` completionDate: {3}"`schedule.name()`mileStoneName`id`immunizationDate));" is 171.,99
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ChildSchedulesService,initializeSchedules,Long Statement,The length of the statement "final Schedule dptBooster2=new Schedule(CHILD_SCHEDULE_DPT_BOOSTER2`dptBooster2MileStones).withDependencyOn(dptBooster1);" is 121.,123
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ChildSchedulesService,initializeSchedules,Long Statement,The length of the statement "final Schedule measlesBooster=new Schedule(CHILD_SCHEDULE_MEASLES_BOOSTER`measlesBoosterMileStones).withDependencyOn(measles);" is 126.,123
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ChildSchedulesService,initializeSchedules,Long Statement,The length of the statement "final Schedule pentavalent2=new Schedule(CHILD_SCHEDULE_PENTAVALENT_2`pentavalent2Milestone).withDependencyOn(pentavalent1);" is 124.,123
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ChildSchedulesService,initializeSchedules,Long Statement,The length of the statement "final Schedule pentavalent3=new Schedule(CHILD_SCHEDULE_PENTAVALENT_3`pentavalent3Milestone).withDependencyOn(pentavalent2);" is 124.,123
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ScheduleService,enroll,Long Statement,The length of the statement "EnrollmentRequest request=new EnrollmentRequest(entityId`scheduleName`new Time(new LocalTime(preferredTime`0))`parse(referenceDate)`null`null`null`startingMilestoneName`null);" is 175.,31
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ScheduleService,enroll,Long Statement,The length of the statement "EnrollmentRequest request=new EnrollmentRequest(entityId`scheduleName`new Time(new LocalTime(preferredTime`0))`parse(referenceDate)`null`null`null`milestone`null);" is 163.,47
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingService,updateFPFollowupSchedule,Long Statement,The length of the statement "logger.info(format("Enrolling EC to FP Followup schedule. entityId: {0}` Ref date: {1}"`fpInfo.entityId()`fpInfo.fpFollowupDate()));" is 132.,70
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingService,updateFPFollowupSchedule,Long Statement,The length of the statement "logger.info(format("Fulfilling FP Followup schedule. entityId: {0}` completionDate: {1}"`fpInfo.entityId()`fpInfo.submissionDate()));" is 133.,70
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingService,updateFPFollowupSchedule,Long Statement,The length of the statement "scheduleTrackingService.fulfillCurrentMilestone(fpInfo.entityId()`fpFollowupSchedule.name()`parse(fpInfo.submissionDate()));" is 124.,70
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingService,updateFPReferralFollowupSchedule,Long Statement,The length of the statement "logger.info(format("Enrolling EC to FP Referral Followup schedule. entityId: {0}` Ref date: {1}"`fpInfo.entityId()`fpInfo.fpFollowupDate()));" is 141.,86
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingService,updateFPReferralFollowupSchedule,Long Statement,The length of the statement "logger.info(format("Fulfilling FP Referral Followup schedule. entityId: {0}` completionDate: {1}"`fpInfo.entityId()`fpInfo.submissionDate()));" is 142.,86
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingService,updateFPReferralFollowupSchedule,Long Statement,The length of the statement "scheduleTrackingService.fulfillCurrentMilestone(fpInfo.entityId()`fpReferralFollowupSchedule.name()`parse(fpInfo.submissionDate()));" is 132.,86
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingService,updateFPReferralFollowupSchedule,Long Statement,The length of the statement "actionService.markAlertAsClosed(fpInfo.entityId()`fpInfo.anmId()`fpReferralFollowupSchedule.name()`fpInfo.submissionDate());" is 124.,86
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ScheduleServiceTest,setUp,Magic Number,The method contains a magic number: 5,32
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ScheduleServiceTest,setUp,Magic Number,The method contains a magic number: 14,32
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ScheduleServiceTest,enrollmentFor,Long Statement,The length of the statement "return entityId.equals(request.getExternalId()) && parse(referenceDate).equals(request.getReferenceDate()) && scheduleName.equals(request.getScheduleName())&& name.equals(request.getStartingMilestoneName());" is 207.,63
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ScheduleServiceTest,matches,Long Statement,The length of the statement "return entityId.equals(request.getExternalId()) && parse(referenceDate).equals(request.getReferenceDate()) && scheduleName.equals(request.getScheduleName())&& name.equals(request.getStartingMilestoneName());" is 207.,65
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,ECSchedulingServiceTest,Long Statement,The length of the statement "ecSchedulingService=new ECSchedulingService(fpMethodStrategyFactory`scheduleTrackingService`actionService`scheduleService);" is 123.,32
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenComplicationIsReportedAndECDoesNotNeedFollowup,Long Statement,The length of the statement "ecSchedulingService.reportFPComplications(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`null`null));" is 157.,37
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenComplicationIsReportedAndECDoesNotNeedFollowup,Long Statement,The length of the statement "ecSchedulingService.reportFPComplications(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`""`null));" is 155.,37
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenComplicationIsReportedAndECDoesNotNeedFollowup,Long Statement,The length of the statement "ecSchedulingService.reportFPComplications(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`"no"`null));" is 164.,37
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenComplicationIsReportedAndECDoesNotNeedFollowup,Magic Number,The method contains a magic number: 3,37
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenComplicationIsReportedAndECDoesNotNeedFollowup,Magic Number,The method contains a magic number: 3,37
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenComplicationIsReportedAndECDoesNotNeedFollowup,Magic Number,The method contains a magic number: 3,37
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillFollowupScheduleWhenComplicationIsReportedAndECDoesNotEnrolledIntoSchedule,Long Statement,The length of the statement "ecSchedulingService.reportFPComplications(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`null`null));" is 157.,50
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillFollowupScheduleWhenComplicationIsReportedAndECDoesNotEnrolledIntoSchedule,Long Statement,The length of the statement "ecSchedulingService.reportFPComplications(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`""`null));" is 155.,50
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillFollowupScheduleWhenComplicationIsReportedAndECDoesNotEnrolledIntoSchedule,Long Statement,The length of the statement "ecSchedulingService.reportFPComplications(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`"no"`null));" is 164.,50
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillFollowupScheduleWhenComplicationIsReportedAndECDoesNotEnrolledIntoSchedule,Magic Number,The method contains a magic number: 3,50
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldEnrollECToFollowupScheduleWhenComplicationIsReportedAndTheyNeedFollowup,Long Statement,The length of the statement "ecSchedulingService.reportFPComplications(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-13"`null`"2011-01-12"`"yes"`null));" is 166.,63
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenComplicationIsReportedAndECDoesNotNeedReferralFollowup,Long Statement,The length of the statement "ecSchedulingService.reportFPComplications(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`null`null));" is 157.,70
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenComplicationIsReportedAndECDoesNotNeedReferralFollowup,Long Statement,The length of the statement "ecSchedulingService.reportFPComplications(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`null`""));" is 155.,70
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenComplicationIsReportedAndECDoesNotNeedReferralFollowup,Long Statement,The length of the statement "ecSchedulingService.reportFPComplications(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`null`"no"));" is 164.,70
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenComplicationIsReportedAndECDoesNotNeedReferralFollowup,Long Statement,The length of the statement "verify(scheduleTrackingService`times(3)).fulfillCurrentMilestone("entity id 1"`"FP Referral Followup"`parse("2011-01-12"));" is 123.,70
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenComplicationIsReportedAndECDoesNotNeedReferralFollowup,Magic Number,The method contains a magic number: 3,70
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenComplicationIsReportedAndECDoesNotNeedReferralFollowup,Magic Number,The method contains a magic number: 3,70
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenComplicationIsReportedAndECDoesNotNeedReferralFollowup,Magic Number,The method contains a magic number: 3,70
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillReferralFollowupScheduleWhenComplicationIsReportedAndECIsNotEnrolledToSchedule,Long Statement,The length of the statement "ecSchedulingService.reportFPComplications(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`null`null));" is 157.,83
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillReferralFollowupScheduleWhenComplicationIsReportedAndECIsNotEnrolledToSchedule,Long Statement,The length of the statement "ecSchedulingService.reportFPComplications(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`null`""));" is 155.,83
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillReferralFollowupScheduleWhenComplicationIsReportedAndECIsNotEnrolledToSchedule,Long Statement,The length of the statement "ecSchedulingService.reportFPComplications(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`null`"no"));" is 164.,83
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillReferralFollowupScheduleWhenComplicationIsReportedAndECIsNotEnrolledToSchedule,Long Statement,The length of the statement "verify(scheduleTrackingService`times(0)).fulfillCurrentMilestone("entity id 1"`"FP Referral Followup"`parse("2011-01-12"));" is 123.,83
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillReferralFollowupScheduleWhenComplicationIsReportedAndECIsNotEnrolledToSchedule,Magic Number,The method contains a magic number: 3,83
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldEnrollECToReferralFollowupScheduleWhenComplicationIsReportedAndTheyNeedReferralFollowup,Long Statement,The length of the statement "ecSchedulingService.reportFPComplications(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-13"`null`"2011-01-12"`null`"yes"));" is 166.,96
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenReferralFollowupIsReportedAndECDoesNotNeedFollowup,Long Statement,The length of the statement "ecSchedulingService.reportReferralFollowup(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`null`null));" is 158.,103
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenReferralFollowupIsReportedAndECDoesNotNeedFollowup,Long Statement,The length of the statement "ecSchedulingService.reportReferralFollowup(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`""`null));" is 156.,103
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenReferralFollowupIsReportedAndECDoesNotNeedFollowup,Long Statement,The length of the statement "ecSchedulingService.reportReferralFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`"no"`null));" is 165.,103
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenReferralFollowupIsReportedAndECDoesNotNeedFollowup,Magic Number,The method contains a magic number: 3,103
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenReferralFollowupIsReportedAndECDoesNotNeedFollowup,Magic Number,The method contains a magic number: 3,103
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenReferralFollowupIsReportedAndECDoesNotNeedFollowup,Magic Number,The method contains a magic number: 3,103
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillFollowupScheduleWhenReferralFollowupIsReportedAndECIsNotEnrolledToSchedule,Long Statement,The length of the statement "ecSchedulingService.reportReferralFollowup(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`null`null));" is 158.,116
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillFollowupScheduleWhenReferralFollowupIsReportedAndECIsNotEnrolledToSchedule,Long Statement,The length of the statement "ecSchedulingService.reportReferralFollowup(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`""`null));" is 156.,116
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillFollowupScheduleWhenReferralFollowupIsReportedAndECIsNotEnrolledToSchedule,Long Statement,The length of the statement "ecSchedulingService.reportReferralFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`"no"`null));" is 165.,116
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillFollowupScheduleWhenReferralFollowupIsReportedAndECIsNotEnrolledToSchedule,Magic Number,The method contains a magic number: 3,116
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldEnrollECToFollowupScheduleWhenReferralFollowupIsReportedAndTheyNeedFollowup,Long Statement,The length of the statement "ecSchedulingService.reportReferralFollowup(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-13"`null`"2011-01-12"`"yes"`null));" is 167.,129
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenReferralFollowupIsReportedAndECDoesNotNeedReferralFollowup,Long Statement,The length of the statement "ecSchedulingService.reportReferralFollowup(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`null`null));" is 158.,136
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenReferralFollowupIsReportedAndECDoesNotNeedReferralFollowup,Long Statement,The length of the statement "ecSchedulingService.reportReferralFollowup(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`null`""));" is 156.,136
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenReferralFollowupIsReportedAndECDoesNotNeedReferralFollowup,Long Statement,The length of the statement "ecSchedulingService.reportReferralFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`null`"no"));" is 165.,136
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenReferralFollowupIsReportedAndECDoesNotNeedReferralFollowup,Long Statement,The length of the statement "verify(scheduleTrackingService`times(3)).fulfillCurrentMilestone("entity id 1"`"FP Referral Followup"`parse("2011-01-12"));" is 123.,136
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenReferralFollowupIsReportedAndECDoesNotNeedReferralFollowup,Magic Number,The method contains a magic number: 3,136
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenReferralFollowupIsReportedAndECDoesNotNeedReferralFollowup,Magic Number,The method contains a magic number: 3,136
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenReferralFollowupIsReportedAndECDoesNotNeedReferralFollowup,Magic Number,The method contains a magic number: 3,136
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillReferralFollowupScheduleWhenReferralFollowupIsReportedAndECIsNotEnrolledIntoScheduled,Long Statement,The length of the statement "ecSchedulingService.reportReferralFollowup(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`null`null));" is 158.,149
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillReferralFollowupScheduleWhenReferralFollowupIsReportedAndECIsNotEnrolledIntoScheduled,Long Statement,The length of the statement "ecSchedulingService.reportReferralFollowup(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-12"`null`null`null`""));" is 156.,149
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillReferralFollowupScheduleWhenReferralFollowupIsReportedAndECIsNotEnrolledIntoScheduled,Long Statement,The length of the statement "ecSchedulingService.reportReferralFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`null`"no"));" is 165.,149
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillReferralFollowupScheduleWhenReferralFollowupIsReportedAndECIsNotEnrolledIntoScheduled,Long Statement,The length of the statement "verify(scheduleTrackingService`times(0)).fulfillCurrentMilestone("entity id 1"`"FP Referral Followup"`parse("2011-01-12"));" is 123.,149
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillReferralFollowupScheduleWhenReferralFollowupIsReportedAndECIsNotEnrolledIntoScheduled,Magic Number,The method contains a magic number: 3,149
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldEnrollECToReferralFollowupScheduleWhenReferralFollowupIsReportedAndTheyNeedReferralFollowup,Long Statement,The length of the statement "ecSchedulingService.reportReferralFollowup(new FPProductInformation("entity id 1"`"anm id 1"`null`null`null`null`null`null`"2011-01-13"`null`"2011-01-12"`null`"yes"));" is 167.,162
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenFollowupIsReportedAndECDoesNotNeedFollowup,Long Statement,The length of the statement "ecSchedulingService.fpFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`null`null));" is 153.,169
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenFollowupIsReportedAndECDoesNotNeedFollowup,Long Statement,The length of the statement "ecSchedulingService.fpFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`""`null));" is 151.,169
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenFollowupIsReportedAndECDoesNotNeedFollowup,Long Statement,The length of the statement "ecSchedulingService.fpFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`"no"`null));" is 153.,169
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenFollowupIsReportedAndECDoesNotNeedFollowup,Magic Number,The method contains a magic number: 3,169
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenFollowupIsReportedAndECDoesNotNeedFollowup,Magic Number,The method contains a magic number: 3,169
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillFollowupScheduleWhenFollowupIsReportedAndECDoesNotNeedFollowup,Magic Number,The method contains a magic number: 3,169
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillFollowupScheduleWhenFollowupIsReportedAndECIsNotEnrolledIntoSchedule,Long Statement,The length of the statement "ecSchedulingService.fpFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`null`null));" is 153.,183
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillFollowupScheduleWhenFollowupIsReportedAndECIsNotEnrolledIntoSchedule,Long Statement,The length of the statement "ecSchedulingService.fpFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`""`null));" is 151.,183
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillFollowupScheduleWhenFollowupIsReportedAndECIsNotEnrolledIntoSchedule,Long Statement,The length of the statement "ecSchedulingService.fpFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`"no"`null));" is 153.,183
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillFollowupScheduleWhenFollowupIsReportedAndECIsNotEnrolledIntoSchedule,Magic Number,The method contains a magic number: 3,183
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldEnrollECToFollowupScheduleWhenFollowupIsReportedAndTheyNeedFollowup,Long Statement,The length of the statement "ecSchedulingService.fpFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-13"`null`"2011-01-12"`"yes"`null));" is 162.,197
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenFollowupIsReportedAndECDoesNotNeedReferralFollowup,Long Statement,The length of the statement "ecSchedulingService.fpFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`null`null));" is 153.,206
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenFollowupIsReportedAndECDoesNotNeedReferralFollowup,Long Statement,The length of the statement "ecSchedulingService.fpFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`null`""));" is 151.,206
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenFollowupIsReportedAndECDoesNotNeedReferralFollowup,Long Statement,The length of the statement "ecSchedulingService.fpFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`null`"no"));" is 153.,206
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenFollowupIsReportedAndECDoesNotNeedReferralFollowup,Long Statement,The length of the statement "verify(scheduleTrackingService`times(3)).fulfillCurrentMilestone("entity id 1"`"FP Referral Followup"`parse("2011-01-12"));" is 123.,206
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenFollowupIsReportedAndECDoesNotNeedReferralFollowup,Magic Number,The method contains a magic number: 3,206
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenFollowupIsReportedAndECDoesNotNeedReferralFollowup,Magic Number,The method contains a magic number: 3,206
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldFulfillReferralFollowupScheduleWhenFollowupIsReportedAndECDoesNotNeedReferralFollowup,Magic Number,The method contains a magic number: 3,206
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillReferralFollowupScheduleWhenFollowupIsReportedAndECIsNotEnrolledIntoSchedule,Long Statement,The length of the statement "ecSchedulingService.fpFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`null`null));" is 153.,220
SEL-columbia_dristhi,org.ei.drishti.service.scheduling,ECSchedulingServiceTest,shouldNotFulfillReferralFollowupScheduleWhenFollowupIsReportedAndECIsNotEnrolledIntoSchedule,Long Statement,The length of the statement "ecSchedulingService.fpFollowup(new FPProductInformation("entity id 1"`"anm id 1"`"fp_method"`null`null`null`null`null`"2011-01-12"`null`null`null`""));" is 151.,220
